-2187.5	730
-2185	730.4
-2182.5	730.8
-2180	731.2
-2177.5	731.6
-2175	732
-2172.5	732.4
-2170	732.8
-2167.5	733.2
-2165	733.6
-2162.5	734
-2160	734.4
-2157.5	734.8
-2155	735.2
-2152.5	735.6
-2150	736
-2147.5	736.4
-2145	736.8
-2142.5	737.2
-2140	737.6
-2137.5	738
-2135	738.4
-2132.5	738.8
-2130	739.2
-2127.5	739.6
-2125	740
-2122.5	740.4
-2120	740.8
-2117.5	741.2
-2115	741.6
-2112.5	742
-2110	742.4
-2107.5	742.8
-2105	743.2
-2102.5	743.6
-2100	744
-2097.5	744.4
-2095	744.8
-2092.5	745.2
-2090	745.6
-2087.5	746
-2085	746.4
-2082.5	746.8
-2080	747.2
-2077.5	747.6
-2075	748
-2072.5	748.4
-2070	748.8
-2067.5	749.2
-2065	749.6
-2062.5	750
-2060	750.4
-2057.5	750.8
-2055	751.2
-2052.5	751.6
-2050	752
-2047.5	752.4
-2045	752.8
-2042.5	753.2
-2040	753.6
-2037.5	754
-2035	754.4
-2032.5	754.8
-2030	755.2
-2027.5	755.6
-2025	756
-2022.5	756.4
-2020	756.8
-2017.5	757.2
-2015	757.6
-2012.5	758
-2010	758.4
-2007.5	758.8
-2005	759.2
-2002.5	759.6
-2000	760
-1997.5	760.4
-1995	760.8
-1992.5	761.2
-1990	761.6
-1987.5	762
-1985	762.4
-1982.5	762.8
-1980	763.2
-1977.5	763.6
-1975	764
-1972.5	764.4
-1970	764.8
-1967.5	765.2
-1965	765.6
-1962.5	766
-1960	766.4
-1957.5	766.8
-1955	767.2
-1952.5	767.6
-1950	768
-1947.5	768.4
-1945	768.8
-1942.5	769.2
-1940	769.6
-1937.5	770
-1935	770.4
-1932.5	770.8
-1930	771.2
-1927.5	771.6
-1925	772
-1922.5	772.4
-1920	772.8
-1917.5	773.2
-1915	773.6
-1912.5	774
-1910	774.4
-1907.5	774.8
-1905	775.2
-1902.5	775.6
-1900	776
-1897.5	776.4
-1895	776.8
-1892.5	777.2
-1890	777.6
-1887.5	778
-1885	778.4
-1882.5	778.8
-1880	779.2
-1877.5	779.6
-1875	780
-1872.5	780.4
-1870	780.8
-1867.5	781.2
-1865	781.6
-1862.5	782
-1860	782.4
-1857.5	782.8
-1855	783.2
-1852.5	783.6
-1850	784
-1847.5	784.4
-1845	784.8
-1842.5	785.2
-1840	785.6
-1837.5	786
-1835	786.4
-1832.5	786.8
-1830	787.2
-1827.5	787.6
-1825	788
-1822.5	788.4
-1820	788.8
-1817.5	789.2
-1815	789.6
-1812.5	790
-1810	790.4
-1807.5	790.8
-1805	791.2
-1802.5	791.6
-1800	792
-1797.5	792.4
-1795	792.8
-1792.5	793.2
-1790	793.6
-1787.5	794
-1785	794.4
-1782.5	794.8
-1780	795.2
-1777.5	795.6
-1775	796
-1772.5	796.4
-1770	796.8
-1767.5	797.2
-1765	797.6
-1762.5	798
-1760	798.4
-1757.5	798.8
-1755	799.2
-1752.5	799.6
-1750	800
-1747.5	800.4
-1745	800.8
-1742.5	801.2
-1740	801.6
-1737.5	802
-1735	802.4
-1732.5	802.8
-1730	803.2
-1727.5	803.6
-1725	804
-1722.5	804.4
-1720	804.8
-1717.5	805.2
-1715	805.6
-1712.5	806
-1710	806.4
-1707.5	806.8
-1705	807.2
-1702.5	807.6
-1700	808
-1697.5	808.4
-1695	808.8
-1692.5	809.2
-1690	809.6
-1687.5	810
-1685	810.4
-1682.5	810.8
-1680	811.2
-1677.5	811.6
-1675	812
-1672.5	812.4
-1670	812.8
-1667.5	813.2
-1665	813.6
-1662.5	814
-1660	814.4
-1657.5	814.8
-1655	815.2
-1652.5	815.6
-1650	816
-1647.5	816.4
-1645	816.8
-1642.5	817.2
-1640	817.6
-1637.5	818
-1635	818.4
-1632.5	818.8
-1630	819.2
-1627.5	819.6
-1625	820
-1622.5	820.4
-1620	820.8
-1617.5	821.2
-1615	821.6
-1612.5	822
-1610	822.4
-1607.5	822.8
-1605	823.2
-1602.5	823.6
-1600	824
-1597.5	824.4
-1595	824.8
-1592.5	825.2
-1590	825.6
-1587.5	826
-1585	826.4
-1582.5	826.8
-1580	827.2
-1577.5	827.6
-1575	828
-1572.5	828.4
-1570	828.8
-1567.5	829.2
-1565	829.6
-1562.5	830
-1560	830.4
-1557.5	830.8
-1555	831.2
-1552.5	831.6
-1550	832
-1547.5	832.4
-1545	832.8
-1542.5	833.2
-1540	833.6
-1537.5	834
-1535	834.4
-1532.5	834.8
-1530	835.2
-1527.5	835.6
-1525	836
-1522.5	836.4
-1520	836.8
-1517.5	837.2
-1515	837.6
-1512.5	838
-1510	838.4
-1507.5	838.8
-1505	839.2
-1502.5	839.6
-1500	840
-1497.5	840.4
-1495	840.8
-1492.5	841.2
-1490	841.6
-1487.5	842
-1485	842.4
-1482.5	842.8
-1480	843.2
-1477.5	843.6
-1475	844
-1472.5	844.4
-1470	844.8
-1467.5	845.2
-1465	845.6
-1462.5	846
-1460	846.4
-1457.5	846.8
-1455	847.2
-1452.5	847.6
-1450	848
-1447.5	848.4
-1445	848.8
-1442.5	849.2
-1440	849.6
-1437.5	850
-1435	850.4
-1432.5	850.8
-1430	851.2
-1427.5	851.6
-1425	852
-1422.5	852.4
-1420	852.8
-1417.5	853.2
-1415	853.6
-1412.5	854
-1410	854.4
-1407.5	854.8
-1405	855.2
-1402.5	855.6
-1400	856
-1397.5	856.4
-1395	856.8
-1392.5	857.2
-1390	857.6
-1387.5	858
-1385	858.4
-1382.5	858.8
-1380	859.2
-1377.5	859.6
-1375	860
-1372.5	860.4
-1370	860.8
-1367.5	861.2
-1365	861.6
-1362.5	862
-1360	862.4
-1357.5	862.8
-1355	863.2
-1352.5	863.6
-1350	864
-1347.5	864.4
-1345	864.8
-1342.5	865.2
-1340	865.6
-1337.5	866
-1335	866.4
-1332.5	866.8
-1330	867.2
-1327.5	867.6
-1325	868
-1322.5	868.4
-1320	868.8
-1317.5	869.2
-1315	869.6
-1312.5	870
-1310	870.4
-1307.5	870.8
-1305	871.2
-1302.5	871.6
-1300	872
-1297.5	872.4
-1295	872.8
-1292.5	873.2
-1290	873.6
-1287.5	874
-1285	874.4
-1282.5	874.8
-1280	875.2
-1277.5	875.6
-1275	876
-1272.5	876.4
-1270	876.8
-1267.5	877.2
-1265	877.6
-1262.5	878
-1260	878.4
-1257.5	878.8
-1255	879.2
-1252.5	879.6
-1250	880
-1247.5	880.4
-1245	880.8
-1242.5	881.2
-1240	881.6
-1237.5	882
-1235	882.4
-1232.5	882.8
-1230	883.2
-1227.5	883.6
-1225	884
-1222.5	884.4
-1220	884.8
-1217.5	885.2
-1215	885.6
-1212.5	886
-1210	886.4
-1207.5	886.8
-1205	887.2
-1202.5	887.6
-1200	888
-1197.5	888.4
-1195	888.8
-1192.5	889.2
-1190	889.6
-1187.5	890
-1185	890.4
-1182.5	890.8
-1180	891.2
-1177.5	891.6
-1175	892
-1172.5	892.4
-1170	892.8
-1167.5	893.2
-1165	893.6
-1162.5	894
-1160	894.4
-1157.5	894.8
-1155	895.2
-1152.5	895.6
-1150	896
-1147.5	896.4
-1145	896.8
-1142.5	897.2
-1140	897.6
-1137.5	898
-1135	898.4
-1132.5	898.8
-1130	899.2
-1127.5	899.6
-1125	900
-1122.5	900.4
-1120	900.8
-1117.5	901.2
-1115	901.6
-1112.5	902
-1110	902.4
-1107.5	902.8
-1105	903.2
-1102.5	903.6
-1100	904
-1097.5	904.4
-1095	904.8
-1092.5	905.2
-1090	905.6
-1087.5	906
-1085	906.4
-1082.5	906.8
-1080	907.2
-1077.5	907.6
-1075	908
-1072.5	908.4
-1070	908.8
-1067.5	909.2
-1065	909.6
-1062.5	910
-1060	910.4
-1057.5	910.8
-1055	911.2
-1052.5	911.6
-1050	912
-1047.5	912.4
-1045	912.8
-1042.5	913.2
-1040	913.6
-1037.5	914
-1035	914.4
-1032.5	914.8
-1030	915.2
-1027.5	915.6
-1025	916
-1022.5	916.4
-1020	916.8
-1017.5	917.2
-1015	917.6
-1012.5	918
-1010	918.4
-1007.5	918.8
-1005	919.2
-1002.5	919.6
-1000	920
-997.5	920.4
-995	920.8
-992.5	921.2
-990	921.6
-987.5	922
-985	922.4
-982.5	922.8
-980	923.2
-977.5	923.6
-975	924
-972.5	924.4
-970	924.8
-967.5	925.2
-965	925.6
-962.5	926
-960	926.4
-957.5	926.8
-955	927.2
-952.5	927.6
-950	928
-947.5	928.4
-945	928.8
-942.5	929.2
-940	929.6
-937.5	930
-935	930.4
-932.5	930.8
-930	931.2
-927.5	931.6
-925	932
-922.5	932.4
-920	932.8
-917.5	933.2
-915	933.6
-912.5	934
-910	934.4
-907.5	934.8
-905	935.2
-902.5	935.6
-900	936
-897.5	936.4
-895	936.8
-892.5	937.2
-890	937.6
-887.5	938
-885	938.4
-882.5	938.8
-880	939.2
-877.5	939.6
-875	940
-872.5	940.4
-870	940.8
-867.5	941.2
-865	941.6
-862.5	942
-860	942.4
-857.5	942.8
-855	943.2
-852.5	943.6
-850	944
-847.5	944.4
-845	944.8
-842.5	945.2
-840	945.6
-837.5	946
-835	946.4
-832.5	946.8
-830	947.2
-827.5	947.6
-825	948
-822.5	948.4
-820	948.8
-817.5	949.2
-815	949.6
-812.5	950
-810	950.4
-807.5	950.8
-805	951.2
-802.5	951.6
-800	952
-797.5	952.4
-795	952.8
-792.5	953.2
-790	953.6
-787.5	954
-785	954.4
-782.5	954.8
-780	955.2
-777.5	955.6
-775	956
-772.5	956.4
-770	956.8
-767.5	957.2
-765	957.6
-762.5	958
-760	958.4
-757.5	958.8
-755	959.2
-752.5	959.6
-750	960
-747.5	960.4
-745	960.8
-742.5	961.2
-740	961.6
-737.5	962
-735	962.4
-732.5	962.8
-730	963.2
-727.5	963.6
-725	964
-722.5	964.4
-720	964.8
-717.5	965.2
-715	965.6
-712.5	966
-710	966.4
-707.5	966.8
-705	967.2
-702.5	967.6
-700	968
-697.5	968.4
-695	968.8
-692.5	969.2
-690	969.6
-687.5	970
-685	970.4
-682.5	970.8
-680	971.2
-677.5	971.6
-675	972
-672.5	972.4
-670	972.8
-667.5	973.2
-665	973.6
-662.5	974
-660	974.4
-657.5	974.8
-655	975.2
-652.5	975.6
-650	976
-647.5	976.4
-645	976.8
-642.5	977.2
-640	977.6
-637.5	978
-635	978.4
-632.5	978.8
-630	979.2
-627.5	979.6
-625	980
-622.5	980.4
-620	980.8
-617.5	981.2
-615	981.6
-612.5	982
-610	982.4
-607.5	982.8
-605	983.2
-602.5	983.6
-600	984
-597.5	984.4
-595	984.8
-592.5	985.2
-590	985.6
-587.5	986
-585	986.4
-582.5	986.8
-580	987.2
-577.5	987.6
-575	988
-572.5	988.4
-570	988.8
-567.5	989.2
-565	989.6
-562.5	990
-560	990.4
-557.5	990.8
-555	991.2
-552.5	991.6
-550	992
-547.5	992.4
-545	992.8
-542.5	993.2
-540	993.6
-537.5	994
-535	994.4
-532.5	994.8
-530	995.2
-527.5	995.6
-525	996
-522.5	996.4
-520	996.8
-517.5	997.2
-515	997.6
-512.5	998
-510	998.4
-507.5	998.8
-505	999.2
-502.5	999.6
-500	1000
-497.5	1000.4
-495	1000.8
-492.5	1001.2
-490	1001.6
-487.5	1002
-485	1002.4
-482.5	1002.8
-480	1003.2
-477.5	1003.6
-475	1004
-472.5	1004.4
-470	1004.8
-467.5	1005.2
-465	1005.6
-462.5	1006
-460	1006.4
-457.5	1006.8
-455	1007.2
-452.5	1007.6
-450	1008
-447.5	1008.4
-445	1008.8
-442.5	1009.2
-440	1009.6
-437.5	1010
-435	1010.4
-432.5	1010.8
-430	1011.2
-427.5	1011.6
-425	1012
-422.5	1012.4
-420	1012.8
-417.5	1013.2
-415	1013.6
-412.5	1014
-410	1014.4
-407.5	1014.8
-405	1015.2
-402.5	1015.6
-400	1016
-397.5	1016.4
-395	1016.8
-392.5	1017.2
-390	1017.6
-387.5	1018
-385	1018.4
-382.5	1018.8
-380	1019.2
-377.5	1019.6
-375	1020
-372.5	1020.4
-370	1020.8
-367.5	1021.2
-365	1021.6
-362.5	1022
-360	1022.4
-357.5	1022.8
-355	1023.2
-352.5	1023.6
-350	1024
-347.5	1024.4
-345	1024.8
-342.5	1025.2
-340	1025.6
-337.5	1026
-335	1026.4
-332.5	1026.8
-330	1027.2
